source,target,edge_type,weight
user:seirenmusicoficial,narrative:narrativa_3,user_narrative,1.0
user:laangelinacastro,narrative:narrativa_3,user_narrative,1.0
user:alejamdelsigir,narrative:narrativa_3,user_narrative,1.0
user:colectivo_madres_protectoras,narrative:narrativa_3,user_narrative,1.0
user:sanchezjuradogaleote,narrative:narrativa_3,user_narrative,1.0
user:alexiacortezmx,narrative:narrativa_3,user_narrative,1.0
user:avalesllll,narrative:narrativa_3,user_narrative,1.0
user:gigix1n,narrative:narrativa_3,user_narrative,1.0
profile:tu949fm,narrative:narrativa_3,profile_narrative,2.0
user:aaleexmv_,narrative:narrativa_4,user_narrative,1.0
user:luismatra,narrative:narrativa_4,user_narrative,1.0
user:mell_madsen,narrative:narrativa_4,user_narrative,1.0
user:gallinaconchupalla,narrative:narrativa_4,user_narrative,1.0
user:sammy.galan,narrative:narrativa_4,user_narrative,1.0
user:movdefensoresvaron,narrative:narrativa_4,user_narrative,1.0
user:echanizraquel,narrative:narrativa_4,user_narrative,1.0
user:giselesevil,narrative:narrativa_4,user_narrative,1.0
user:jose3neyra,narrative:narrativa_4,user_narrative,1.0
user:lp_benavente,narrative:narrativa_4,user_narrative,1.0
user:fercho_n55,narrative:narrativa_4,user_narrative,1.0
user:berecrm,narrative:narrativa_4,user_narrative,1.0
user:cuchimendez,narrative:narrativa_4,user_narrative,1.0
user:jantonio.cook,narrative:narrativa_4,user_narrative,1.0
user:soyval.ok,narrative:narrativa_4,user_narrative,1.0
user:javieraklein,narrative:narrativa_4,user_narrative,1.0
user:romiqua10,narrative:narrativa_4,user_narrative,1.0
user:silvia_ruegg,narrative:narrativa_4,user_narrative,1.0
user:3ladyno,narrative:narrativa_4,user_narrative,1.0
user:madres_sin_exclusion,narrative:narrativa_4,user_narrative,1.0
user:radfem_madrid,narrative:narrativa_4,user_narrative,1.0
user:patadaenlasbolasconfrazzani,narrative:narrativa_4,user_narrative,1.0
user:habitatuluz,narrative:narrativa_4,user_narrative,1.0
user:rosem.gh,narrative:narrativa_4,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_4,profile_narrative,2.0
profile:telefecordoba,narrative:narrativa_4,profile_narrative,1.0
user:medianamentedecente,narrative:narrativa_5,user_narrative,1.0
user:punkakun,narrative:narrativa_5,user_narrative,1.0
user:saravitori666,narrative:narrativa_5,user_narrative,1.0
user:vivirmilvidas,narrative:narrativa_5,user_narrative,1.0
user:maryna__03kess,narrative:narrativa_5,user_narrative,1.0
user:aaliahcuellarn,narrative:narrativa_5,user_narrative,1.0
user:odalys_y_bobby,narrative:narrativa_5,user_narrative,1.0
user:maritza130580,narrative:narrativa_5,user_narrative,1.0
user:jkv_sebas,narrative:narrativa_5,user_narrative,1.0
user:elverdugo0209,narrative:narrativa_5,user_narrative,1.0
user:addieltorrespena,narrative:narrativa_5,user_narrative,1.0
user:analucy93,narrative:narrativa_5,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_5,profile_narrative,8.0
user:sidsteven_27,narrative:narrativa_6,user_narrative,1.0
